nama_provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai,tahun,indeks_pembangunan_manusia,indeks_tpt,persentase_penduduk_miskin
Jawa Tengah,256144.0,18327,58040,76367,2023,73.39,5.13,10.77
Di Yogyakarta,20123.0,1390,4422,5812,2023,81.07,3.69,11.04
Jawa Timur,285189.0,24113,64100,88213,2023,73.38,4.88,10.35
Banten,68185.0,3377,12781,16158,2023,73.87,7.52,6.17
Bali,3056.0,361,974,1335,2023,77.1,2.69,4.25
Nusa Tenggara Barat,27850.0,1724,6774,8498,2023,70.2,2.8,13.85
Nusa Tenggara Timur,2928.0,210,411,621,2023,66.68,3.14,19.96
Kalimantan Barat,21533.0,1161,4607,5768,2023,69.41,5.05,6.71
Kalimantan Tengah,13702.0,867,2890,3757,2023,72.2,4.1,5.11
Kalimantan Selatan,25579.0,1546,5727,7273,2023,72.5,4.31,4.29
Kalimantan Timur,22449.0,2084,6157,8241,2023,78.2,5.31,6.11
Kalimantan Utara,3088.0,299,919,1218,2023,72.49,4.01,6.45
Sulawesi Utara,6246.0,478,1675,2153,2023,74.36,6.1,7.38
Sulawesi Tengah,14848.0,968,3155,4123,2023,70.95,2.95,12.41
Sulawesi Selatan,53216.0,3129,11483,14612,2023,73.46,4.33,8.7
Sulawesi Tenggara,15355.0,990,3323,4313,2023,72.79,3.15,11.43
Gorontalo,8592.0,514,1916,2430,2023,70.45,3.06,15.15
Sulawesi Barat,6548.0,318,986,1304,2023,67.55,2.27,11.49
Maluku,5043.0,266,685,951,2023,70.94,6.31,16.42
Maluku Utara,5271.0,414,933,1347,2023,70.21,4.31,6.46
Papua Barat,1113.0,172,464,636,2023,66.66,5.38,20.49
Papua,1752.0,411,1042,1453,2023,62.25,2.67,26.03
Aceh,31740.0,1192,4739,5931,2024,74.03,5.75,14.23
Sumatera Utara,66682.0,2891,12861,15752,2024,74.02,5.6,7.99
Sumatera Barat,36486.0,1706,6446,8152,2024,74.49,5.75,5.97
Riau,38790.0,1697,6388,8085,2024,74.79,3.7,6.67
Jambi,21590.0,906,3576,4482,2024,73.43,4.48,7.1
Sumatera Selatan,50492.0,2042,7939,9981,2024,72.3,3.86,10.97
Bengkulu,13113.0,743,2694,3437,2024,73.39,3.11,13.56
Lampung,50230.0,2575,11896,14471,2024,71.81,4.19,10.69
Kepulauan Bangka Belitung,7973.0,440,1782,2222,2024,73.33,4.63,4.55
Kepulauan Riau,11533.0,750,2676,3426,2024,77.97,6.39,5.37
Dki Jakarta,40458.0,2800,9349,12149,2024,83.08,6.21,4.3
Jawa Barat,292969.0,19874,68968,88842,2024,74.43,6.75,7.46
Jawa Tengah,233204.0,13786,50783,64569,2024,73.88,4.78,10.47
Di Yogyakarta,18920.0,980,3683,4663,2024,81.55,3.48,10.83
Jawa Timur,271406.0,18979,58679,77658,2024,74.09,4.19,9.79
Banten,63441.0,2617,10839,13456,2024,74.48,6.68,5.84
Bali,3189.0,235,806,1041,2024,77.76,1.79,4.0
Nusa Tenggara Barat,25424.0,1266,5408,6674,2024,70.93,2.73,12.91
Nusa Tenggara Timur,2775.0,139,346,485,2024,67.39,3.02,19.48
Kalimantan Barat,21064.0,835,3800,4635,2024,70.13,4.86,6.32
Kalimantan Tengah,13688.0,640,2400,3040,2024,72.73,4.01,5.17
Kalimantan Selatan,25069.0,1238,5139,6377,2024,73.03,4.2,4.11
Kalimantan Timur,20940.0,1518,4698,6216,2024,78.83,5.14,5.78
Kalimantan Utara,2899.0,205,726,931,2024,73.02,3.9,6.32
Sulawesi Utara,6025.0,368,1586,1954,2024,75.03,5.85,7.25
Sulawesi Tengah,15349.0,740,3122,3862,2024,71.56,2.94,11.77
Sulawesi Selatan,48718.0,2302,9647,11949,2024,74.05,4.19,8.06
Sulawesi Tenggara,14126.0,671,2745,3416,2024,73.48,3.09,11.21
Gorontalo,8093.0,354,1665,2019,2024,71.23,3.13,14.57
Sulawesi Barat,6402.0,296,1007,1303,2024,68.2,2.68,11.21
Maluku,4464.0,170,453,623,2024,71.57,6.11,16.05
Maluku Utara,5724.0,323,937,1260,2024,71.03,4.03,6.32
Papua Barat,1038.0,120,367,487,2024,67.02,4.13,21.66
Papua Barat Daya,1003.0,...,...,...,2024,68.63,6.48,18.13
Papua,1473.0,254,806,1060,2024,73.0,6.48,17.26
Papua Selatan,929.0,...,...,...,2024,67.9,4.05,17.44
Papua Tengah,825.0,...,...,...,2024,59.75,2.75,29.76
Papua Pegunungan,58.0,...,...,...,2024,53.42,1.32,32.97
